run_tag,spikes_per_neuron,a_spikes_per_active,s_silent_fraction,decode_count,decode_identity,decode_full,timing_information,availability_timing_fraction,usage_relocation_corrected,usage_relocation_full_window,control_deletion
sparse_whole_nodelay_tgt3_str0.01_seed42,6.504858493804932,9.742949106939044,0.33235220440881763,0.7621910487641951,0.458249832999332,0.8557114228456913,0.18904475617902472,0.2346308502259255,0.5531331245266022,0.6436160412700362,0.7349178079387501
sparse_whole_nodelay_tgt3_str0.01_seed43,7.84937047958374,11.486936265653847,0.3166697979291917,0.7735470941883767,0.45958583834335337,0.8684034736138945,0.19706078824315298,0.24078684242745788,0.4935683242700212,0.6377077464019743,0.7425364170433947
sparse_whole_nodelay_tgt3_str0.01_seed44,6.796128749847412,10.499959737879456,0.35274716098864395,0.7641950567802271,0.45223780895123583,0.8610554442217769,0.19238476953907824,0.23720298150969824,0.5685669924992893,0.6765947210741542,0.7247042358240942
sparse_whole_nodelay_tgt3_str0.5_seed42,4.308538913726807,6.888083236629281,0.3744937792251169,0.7541750167000668,0.45557782231128924,0.8530394121576487,0.16165664662658652,0.20130599342844072,0.42716392250214885,0.574401022724768,0.6828451145054993
sparse_whole_nodelay_tgt3_str0.5_seed43,4.713666915893555,8.009914685406958,0.41152095858383436,0.7608550434201736,0.5083500334001336,0.8490313961255845,0.18036072144288584,0.22572419847009165,0.45166319071393946,0.6690682340053509,0.7428005645789884
sparse_whole_nodelay_tgt3_str0.5_seed44,3.9921092987060547,6.233108563776111,0.3595315631262525,0.7628590514362057,0.4589178356713427,0.8570474281897128,0.18102872411489646,0.22430989529445847,0.4857547149887008,0.6310587340809732,0.6897716952839554
sparse_whole_nodelay_tgt3_str1_seed42,2.9087445735931396,5.385192129524179,0.4598624331997328,0.760187040748163,0.44288577154308617,0.8443553774215097,0.16766867067468272,0.21107513770340164,0.35518575678275077,0.451363260193697,0.6432709297904227
sparse_whole_nodelay_tgt3_str1_seed43,3.3646771907806396,6.455070481168445,0.4787543837675351,0.7374749498997996,0.46292585170340683,0.8557114228456913,0.18704074816299265,0.2321435973966754,0.44924443294746597,0.5604776994546119,0.7156869085343507
sparse_whole_nodelay_tgt3_str1_seed44,3.1650331020355225,5.952446684329925,0.4682803106212425,0.7541750167000668,0.4849699398797595,0.8416833667334669,0.17167668670674674,0.21685018773994844,0.3868652264093779,0.5737724020601739,0.7047472558204573
sparse_whole_nodelay_tgt3_str3_seed42,2.040560245513916,4.236596801503863,0.5183491983967936,0.72812291249165,0.5110220440881763,0.8350033400133601,0.18303273213092852,0.23316172403522956,0.20356234096692105,0.30624422977324417,0.5845661915377512
sparse_whole_nodelay_tgt3_str3_seed43,1.7202426195144653,3.6029425693083663,0.5225450901803608,0.7334669338677354,0.501002004008016,0.8416833667334669,0.188376753507014,0.23794456397924313,0.2902173158369783,0.31197204286144087,0.5841375639334397
sparse_whole_nodelay_tgt3_str3_seed44,1.8232976198196411,3.839305890387371,0.5250970691382766,0.7227788911155645,0.5156980627922512,0.832999331997328,0.17768871075484305,0.2269334129590923,0.2256512361041979,0.284908388442485,0.5560691175424874
sparse_whole_nodelay_tgt3_str10_seed42,1.4226943254470825,3.1220480985005175,0.544307364729459,0.7047428189712759,0.5297261189044756,0.8216432865731463,0.18704074816299265,0.24239276284465222,0.18475750577367211,0.28756611785740893,0.5180163401127418
sparse_whole_nodelay_tgt3_str10_seed43,1.3794046640396118,3.22793224689334,0.5726661656646627,0.7254509018036072,0.541750167000668,0.8316633266533067,0.18102872411489657,0.23159424005469398,0.20703339788185238,0.28401348346840705,0.5307322670874273
sparse_whole_nodelay_tgt3_str10_seed44,1.207451343536377,3.058185138365824,0.6051738894455578,0.7107548430193721,0.5130260521042084,0.8156312625250501,0.1850367401469606,0.2416786633512193,0.16459018064154485,0.24459221891003602,0.5034523172564905
