run_tag,spikes_per_neuron,a_spikes_per_active,s_silent_fraction,decode_count,decode_identity,decode_full,timing_information,availability_timing_fraction,usage_relocation_corrected,usage_relocation_full_window,control_deletion
sparse_whole_delay_tgt3_str0.01_seed42,11.660419464111328,15.469829441291386,0.24624770374081495,0.7788911155644622,0.3393453573814295,0.8724114896459586,0.19305277221108885,0.23473987735044471,0.6676555880741424,0.684493979606837,0.7796442555693648
sparse_whole_delay_tgt3_str0.01_seed43,8.301785469055176,13.548486734222028,0.38725367401469607,0.7755511022044088,0.31730126920507684,0.8690714762859052,0.20774883099532404,0.2536394405252213,0.7697464734775411,0.7672837225847939,0.7853438957982732
sparse_whole_delay_tgt3_str0.01_seed44,9.407596588134766,13.874298858836358,0.32194075651302606,0.7775551102204409,0.321309285237141,0.8563794255177021,0.1763527054108216,0.21869693078739175,0.724655630323797,0.7761218676464517,0.7356644511414772
sparse_whole_delay_tgt3_str1_seed42,4.797240257263184,8.377409289744019,0.42735992818971275,0.7849031396125584,0.39412157648630597,0.8537074148296593,0.15096860387441546,0.18784025267007437,0.6064334440662209,0.7423204691793462,0.7480621744658162
sparse_whole_delay_tgt3_str1_seed43,4.975043773651123,9.405906086096175,0.47107235303941214,0.7722110888443554,0.3246492985971944,0.863059452237809,0.1977287909151637,0.24319106108532232,0.5539838702867035,0.7454010612394263,0.7693282101085166
sparse_whole_delay_tgt3_str1_seed44,4.792313575744629,8.606867976323274,0.4431988977955912,0.7849031396125584,0.3894455577822311,0.8804275217100869,0.2191048764195057,0.2638458753971766,0.5939306562636927,0.7720250462904069,0.7858768321813736
sparse_whole_delay_tgt3_str3_seed42,3.005124807357788,6.145333024766493,0.5109907314629258,0.7461589846359385,0.41082164328657317,0.8570474281897128,0.20574482297929197,0.2549352315523735,0.5355629300808803,0.738697582209197,0.7510523064546251
sparse_whole_delay_tgt3_str3_seed43,2.7822415828704834,6.195923052662714,0.5509560788243153,0.7702070808283233,0.3834335337341349,0.8643954575818303,0.20240480961923846,0.24853381454291923,0.5750865154688172,0.6891532623386654,0.7242050230955457
sparse_whole_delay_tgt3_str3_seed44,3.2114906311035156,5.519386766608946,0.4181435788243153,0.7702070808283233,0.42217768871075484,0.8677354709418837,0.20708082832331332,0.2532369399174938,0.571753386294001,0.7198214310471516,0.7367355709908636
sparse_whole_delay_tgt3_str10_seed42,2.11515212059021,4.102071685465155,0.48436978122912494,0.7408149632598531,0.5023380093520374,0.8650634602538411,0.20240480961923857,0.24833012334549043,0.5223761745500876,0.6564450042710912,0.6561554387641344
sparse_whole_delay_tgt3_str10_seed43,2.211824655532837,4.518877407740567,0.5105366983967936,0.7595190380761523,0.48830995323981297,0.863059452237809,0.20106880427521712,0.24729901819825004,0.5252636237391078,0.6485678096720535,0.7093042774954601
sparse_whole_delay_tgt3_str10_seed44,2.484302043914795,3.8162550341257466,0.34902095858383436,0.7274549098196392,0.5344021376085505,0.843687374749499,0.16967267869071467,0.21377772166813946,0.5173238273268703,0.6402063498963904,0.6413656189772348
